station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SGAS,2022-01-01 00:00,89.60,68.00,49.10,100.00,5.00,0.00,29.59,,5.59,,FEW,,,,3300.00,,,,,,,,,,,93.47,SGAS 010000Z 10005KT 9000 FEW033 32/20 Q1002,
SGAS,2022-01-01 01:00,87.80,66.20,48.84,90.00,6.00,0.00,29.62,,5.59,,NSC,,,,,,,,,,,,,,,90.31,SGAS 010100Z 09006KT 9000 NSC 31/19 Q1003,
SGAS,2022-01-01 02:00,84.20,68.00,58.32,0.00,0.00,0.00,29.62,,5.59,,NSC,,,,,,,,,,,,,,,87.40,SGAS 010200Z 00000KT 9000 NSC 29/20 Q1003,
SGAS,2022-01-01 03:00,82.40,68.00,61.81,0.00,0.00,0.00,29.62,,5.59,,NSC,,,,,,,,,,,,,,,85.38,SGAS 010300Z 00000KT 9000 NSC 28/20 Q1003,
SGAS,2022-01-01 04:00,80.60,69.80,69.71,,2.00,0.00,29.62,,6.21,,,,,,,,,,,,,,,,,83.90,SGAS 010400Z VRB02KT CAVOK 27/21 Q1003,
SGAS,2022-01-01 05:00,78.80,68.00,69.52,0.00,0.00,0.00,29.62,,6.21,,,,,,,,,,,,,,,,,78.80,SGAS 010500Z 00000KT CAVOK 26/20 Q1003,
SGAS,2022-01-01 06:00,77.00,68.00,73.78,0.00,0.00,0.00,29.62,,6.21,,,,,,,,,,,,,,,,,77.00,SGAS 010600Z 00000KT CAVOK 25/20 Q1003,
SGAS,2022-01-01 07:00,75.20,68.00,78.34,0.00,0.00,0.00,29.62,,6.21,,,,,,,,,,,,,,,,,75.20,SGAS 010700Z 00000KT CAVOK 24/20 Q1003,
SGAS,2022-01-01 08:00,77.00,66.20,69.33,80.00,2.00,0.00,29.62,,6.21,,,,,,,,,,,,,,,,,77.00,SGAS 010800Z 08002KT CAVOK 25/19 Q1003,
SGAS,2022-01-01 09:00,75.20,68.00,78.34,0.00,0.00,0.00,29.62,,6.21,,,,,,,,,,,,,,,,,75.20,SGAS 010900Z 00000KT CAVOK 24/20 Q1003,
